,mean_reward_t,mean_reward_p,mean_reward_d,accuracy_t,accuracy_p,accuracy_d,learning_gain_t,learning_gain_p,learning_gain_d,mean_engagement_t,mean_engagement_p,mean_engagement_d
heuristic,-23.57104700322579,1.9502998242165385e-05,-19.24567928702058,14.749246369098813,0.00013802784461725703,12.042709231629859,0.5630768037019426,0.6296301667835642,0.45975028502234855,-33.76026057944771,8.964666028248879e-06,-27.56513733434815
random,0.2993984318446874,0.7808344263751764,0.24445779593631012,-1.6020025635873305,0.20524719869887284,-1.308029615806507,-0.6649468826844257,0.5667635606185223,-0.5429268562103833,0.4931482853636121,0.6477949405430408,0.40265388888975984
staircase,-10.040975144304772,0.0006151715476738249,-8.198421874505126,2.765921651212333,0.0559411921787663,2.2583655713288397,-0.12217927841064402,0.9114422591947673,-0.09975896308250758,-18.059753002862198,0.00024903730815565894,-14.74572657923622
static,-30.991357211132122,7.385289591168185e-06,-25.304337201199207,-1.1278809266121024,0.3481427920697047,-0.9209109202723771,-0.6390322698482039,0.570079659109258,-0.5217676634335424,-26.886944518079538,0.00010447377591641512,-21.95309827060541
