method,mean_reward_mean,mean_reward_std,accuracy_mean,accuracy_std,learning_gain_mean,learning_gain_std,mean_engagement_mean,mean_engagement_std
heuristic,0.9213027627192476,0.01250139478777349,0.46249999999999997,0.005678908345800279,0.41803517494050507,0.019746043525499572,0.8509543111604513,0.015328499421704202
ppo,0.6857089421361434,0.011975736768825908,0.536,0.006500000000000023,0.5126038234691244,0.29022667198792146,0.4760329147592884,0.01162012155098775
random,0.6831433381535342,0.008767845391446552,0.5428333333333333,0.0035118845842842497,0.6280351749405052,0.07857474266882317,0.47125647067435855,0.012099840836470642
staircase,0.7774030477967607,0.010332548950018911,0.5231666666666666,0.004725815626252613,0.5347018416071719,0.11792151053220751,0.6159577378695072,0.006712806450249453
static,0.9720488465091025,0.01061500493488886,0.5465,0.014756354563373687,0.6313572316903712,0.1391776117851922,0.8627316218835306,0.02203480872942666
